01:00:27:28	01:00:30:19	忠於自己心裡喜歡的那個東西
01:43:34:00		我覺得今天看完節目之後
01:43:35:01		大家也都會超羨慕你們的
01:43:36:16		但不見得能要做你們的工作
01:43:38:23		其實看你們的做出來這些成品
01:43:42:02		大家也都能夠有很好的收穫
01:43:44:00		像你們做了
01:43:45:02		比方說你是一○年開始做的
01:43:46:13		距今已經四年了
01:43:47:26		而你是○九年開始做的
01:43:49:06		也有做了三百多個人了
01:43:51:10		也做了很多的沙龍了
01:43:53:03		你們覺得在這些日子過去之後
01:43:56:04		其實你們對台灣
01:43:57:13		投下了什麼樣的
01:43:59:13		不要說震撼彈啦
01:44:00:16		埋下了什麼樣的種子呢
01:44:02:23		我自己是
01:44:03:27		因為我小時候
01:44:04:24		在南部的夜市長大嘛
01:44:06:26		我媽媽是在夜市做生意的
01:44:08:25		所以小時候成長的過程
01:44:10:02		就是媽媽在旁邊做生意
01:44:11:23		我在旁邊寫功課
01:44:13:03		那在夜市那個環境
01:44:14:00		其實就是一種
01:44:15:17		很多很多好玩的故事
01:44:17:12		那我自己小時候就會覺得說
01:44:20:05		這些故事好像隨著
01:44:22:07		人的離開或消失就不見了
01:44:24:27		可能一個長輩
01:44:25:24		或者是一個我們一個好朋友
01:44:27:16		那有時候
01:44:28:05		我都覺得很奇怪的事情是
01:44:29:29		科技越來越進步
01:44:31:04		但是人越來越冷漠
01:44:33:01		我經常有時候
01:44:33:22		從我的社群網路上才看到說
01:44:36:23		這朋友結婚了
01:44:38:03		或這朋友發出求救訊號
01:44:40:09		那有時候我們可能就是按讚
01:44:42:14		這個好冷漠
01:44:43:23		但是我突然間覺得
01:44:46:02		我們不應該被科技這件事情
01:44:48:29		受到限制
01:44:51:07		那我們應該走出去
01:44:52:22		去感受那個溫度
01:44:54:22		那那個溫度
01:44:55:11		是我想要透過這些演講
01:44:56:23		去傳遞的
01:44:58:00		因為這些演講
01:44:59:00		記錄的是真正人的故事
01:45:01:13		它不是一個
01:45:03:13		為了要宣傳一個商品
01:45:04:23		製作的一個影片
01:45:05:29		然後它也不是一個偶像劇
01:45:08:00		它不是一個電影
01:45:09:06		他就是一個人
01:45:10:12		然後他對一個事情的看法
01:45:12:02		還有他遇到一個困難
01:45:13:07		他如何解決
01:45:14:13		或甚至於
01:45:15:12		他對自己有很多很多的懷疑
01:45:18:12		他都不害怕脆弱的
01:45:21:05		分享給所有的人
01:45:23:06		我覺得那樣的分享的一種信念
01:45:26:27		在現在的台灣是需要的
01:45:28:23		因為我們進入到一種
01:45:30:05		我們彼此不信任的社會
01:45:32:02		譬如說黑心油
01:45:34:10		或甚至於我們最近一直看到
01:45:37:03		政府改組或高鐵
01:45:38:27		這些東西都是代表
01:45:40:18		我要什麼東西我全部都拿
01:45:43:07		因為我要走捷徑
01:45:44:13		我要用最快的方法
01:45:45:29		達到最大的利益
01:45:47:25		可是當我們這樣
01:45:48:21		一直下去的時候
01:45:50:01		我害怕以後我們孩子們
01:45:52:02		讀到的東西
01:45:53:10		可能都是這些很爛很爛的案例
01:45:56:05		竟然都發生在台灣
01:45:57:23		那我做這件事情就是說
01:45:59:13		以後如果這些影片, 演講
01:46:02:10		在學校裡面變成教材
01:46:04:11		那老師可以播這些影片
01:46:06:29		跟孩子們討論說
01:46:08:19		你看, 你有很多個選擇
01:46:10:26		你不一定要當公務員
01:46:13:24		不是說公務員不好
01:46:15:02		但是你可以去當一個畫家
01:46:18:00		當一個跳踢躂舞的
01:46:19:14		然後你可以當一個舞者等...
01:46:23:03		你有...
01:46:23:21		生命有很多可以開展的方向
01:46:26:13		還有力量
01:46:27:14		那我是覺得對我來說
01:46:30:05		這是很幸運的
01:46:31:25		因為我自己離開那個環境之後
01:46:36:04		我一直覺得好像有一個東西
01:46:38:25		在我的生命中一直離我而遠去
01:46:41:12		就是這些故事
01:46:42:19		那對我來說, 收集這些故事
01:46:44:25		然後讓這些故事讓更多人知道
01:46:47:27		那我覺得好像是一種
01:46:50:05		不斷不斷在召喚我說
01:46:52:01		就是你
01:46:52:25		你要做這件事...
01:46:54:28		對...
01:46:55:24		那我也覺得很開心諺錡他做了
01:46:58:15		然後很多台灣的大學生
01:47:00:12		也開始做了這樣子
01:47:01:20		諺錡覺得呢
01:47:02:16		我覺得我不敢說我們自己真的
01:47:04:05		就是有什麼震撼彈
01:47:05:21		或是震撼效果
01:47:06:23		可是在我們這麼多的
01:47:09:05		比方說大學也好
01:47:10:09		或者是這些
01:47:11:06		不同的TEDx組織的人
01:47:12:19		聚在一起之後討論
01:47:14:08		我們種下的一個信念是
01:47:16:29		動手做吧, 試試看吧
01:47:18:14		這種無畏懼的這種想法
01:47:21:04		因為其實我們的教育一直以來
01:47:23:00		都是讓你充滿很多理念
01:47:24:24		這其實是滿正確的
01:47:25:22		就是你要先有理念
01:47:26:19		你了解這些東西是什麼
01:47:27:26		你去做的時候才可以避開一些
01:47:29:04		什麼問題等等...
01:47:30:22		可是我們常常忘記了
01:47:33:06		我們有雙手啊, 我們有腦袋啊
01:47:35:00		我們可以去做做看
01:47:37:07		即使你已經知道了
01:47:38:03		你還是可以驗證一下
01:47:39:01		你還是可以做一下
01:47:40:03		你還是可以找回這樣子的精神
01:47:43:14		對, 這個最基本的這個原則
01:47:45:15		大家其實慢慢的
01:47:46:11		就都是考試, 都是補習
01:47:48:22		那那些自己做玩具呢
01:47:50:18		以前爸爸媽媽自己刻
01:47:51:28		像我記得我爸
01:47:52:20		刻了一個陀螺給我
01:47:53:25		然後還打給我看
01:47:55:00		雖然我怎麼樣都不會打
01:47:56:00		可是這個感覺
01:47:57:16		是一種最單純的感動
01:47:59:22		是一種人與人之間
01:48:01:15		沒有透過任何就是裝飾的
01:48:03:25		這種真情流露
01:48:05:12		那這個東西是展現在
01:48:06:28		我們做出來的東西裡面
01:48:08:21		你用心的把這一件事情做好
01:48:10:24		可能是為了要給某一個
01:48:12:18		你非常喜歡的人
01:48:13:27		或是給一群非常非常好的人
01:48:15:22		或者是為了你自己
01:48:17:10		可以方便某些事情
01:48:19:05		對, 在這個情況下
01:48:20:07		其實這種理念
01:48:21:21		我覺得是我們一直以來
01:48:23:00		在拼命提倡的
01:48:24:12		去找回那種最原始的
01:48:25:29		最根本的自我
01:48:28:02		其實很多人都會覺得說
01:48:30:21		其實台灣就只要一個TED就好
01:48:32:13		大家一起做吧
01:48:33:06		沒有, 我覺得有不同的著眼點
01:48:35:16		對
01:48:36:07		TED有這麼多
01:48:38:05		我總覺得你隨機打開一個
01:48:41:23		可能都會給你
01:48:43:21		不管是永恆的答案也好
01:48:45:19		或者只是當下的答案也好
01:48:47:23		它可能都會給你一些啟發
01:48:49:14		因為我總覺得
01:48:50:12		TED不管它的點擊率多
01:48:51:22		或者是少
01:48:53:01		你只要種下那顆種子
01:48:55:13		你真的不知道會在哪裡發芽
01:48:58:05		對
01:48:58:25		所以你們
01:49:00:03		我真的好羨慕你們
01:49:01:10		其實我也在做一樣的事情啦
01:49:02:20		我覺得這也是為什麼
01:49:03:17		我很喜歡主持這個工作
01:49:05:02		就是你們有機會可以認識他們
01:49:07:06		我有機會可以認識你們
01:49:08:14		我們可以把這個很好的想法
01:49:09:23		不斷的傳遞出去
01:49:11:05		最後... 告訴大家
01:49:12:26		在這麼多TED當中
01:49:14:14		你目前覺得是一個很好的禮物
01:49:16:18		可以送給別人的
01:49:17:17		希望他可以點開來看
01:49:18:16		因為我真的不知道從哪裡找起
01:49:20:13		我可能會推薦去年
01:49:22:02		在我們年會的第一場演講
01:49:24:07		是詹宏志先生
01:49:26:11		我覺得去年台灣發生了很多事
01:49:28:18		從學運然後到黑心油
01:49:30:16		到空難等等
01:49:31:26		台灣無一倖免
01:49:33:17		那詹先生在那一個演講裡面
01:49:36:01		他講到說
01:49:37:06		我們應該要開始承認
01:49:39:15		問題的所在
01:49:40:21		然後用一種新的思考方式
01:49:43:21		去發想這問題的答案
01:49:46:05		即使這個答案是發散的也好
01:49:48:12		然後另外一件事情是
01:49:49:25		你要在舊勢力裡面尋找新能力
01:49:52:23		他不是說新勢力要推翻舊勢力
01:49:56:02		他不是這樣說
01:49:56:25		他要說你要培養一個新能力
01:49:59:08		那新能力是什麼
01:50:00:08		我會覺得
01:50:01:08		這很適合電視機觀眾朋友去想
01:50:03:22		你對你的未來
01:50:04:17		有沒有開始在培養新能力
01:50:07:14		好, 來
01:50:08:26		我覺得是很久很久以前的
01:50:10:08		我們一個演講
01:50:11:09		是來自一個製片叫陳怡燁YY
01:50:14:18		那她其實在說
01:50:16:08		人生是一個不斷練習的過程
01:50:18:17		這個練習的過程
01:50:19:14		找到最真實的自己是怎麼樣子
01:50:22:06		然後想辦法融入
01:50:23:12		想辦法讓別人來
01:50:24:21		一起做這樣的事情
01:50:26:10		然後一起找到他們自己
01:50:27:26		人生最大的目標
01:50:29:15		最後用最漂亮的方式
01:50:31:19		呈現在世人的面前
01:50:33:11		這個我覺得是
01:50:34:16		我最想要就是推薦給大家的
01:50:36:07		重新找回自我的
01:50:37:08		這樣子的一個演講
01:50:39:07		謝謝你們的禮物
01:50:40:12		我覺得今天的觀眾看完之後
01:50:41:28		都會非常有收穫
01:50:43:08		謝謝你們
01:50:43:27		謝謝寶儀
01:50:44:15	01:50:45:28	謝謝...
