00:00:29:25 劉墉
00:47:36:29 那要怎麼申請到你的獎學金呢
00:47:38:19 跟燃燈助學基金會
00:47:41:12 是紐約的華僑
00:47:42:23 他們這些華僑非常的偉大
00:47:45:17 他們可以到深山裡面
00:47:49:02 能夠腳踩下去
00:47:50:04 鞋子就黏在下面
00:47:51:14 黏在泥巴裡面
00:47:52:13 到最後不得不光著腳
00:47:54:11 然後到深山裡面看
00:47:56:00 哪個地方需要蓋學校
00:47:57:19 說我們來幫你蓋好不好
00:47:59:20 我們來運鋼筋水泥
00:48:01:11 你們來燒磚
00:48:02:22 你們來弄石頭
00:48:04:20 結果連背著孩子的媽媽
00:48:07:29 都在裡面幫忙刨地
00:48:10:04 來打地基
00:48:11:08 這整個學校蓋起來
00:48:12:10 是真正的希望小學
00:48:14:13 所以我曾經講過
00:48:15:07 我說哪個學校
00:48:16:11 人家會不會到山裡頭去找不到
00:48:19:14 一定找得到
00:48:20:22 因為當他一問說是什麼學校
00:48:22:18 那磚是我燒的
00:48:23:25 那石頭是我運的
00:48:26:01 這個才是全村的人
00:48:28:02 所以我們用很少的錢
00:48:30:01 蓋好幾層樓的很好的學校
00:48:32:19 而且絕對不是豆腐渣
00:48:34:07
00:48:35:18 聽說
00:48:36:14 我在網上看到
00:48:37:15 他們說我的學校
00:48:38:11 因為這個地震之後
00:48:40:11 我就公開的問嘛
00:48:42:07 也在網上問說
00:48:43:08 我捐的那些學校
00:48:44:10 有沒有什麼問題等等
00:48:46:03 它們都沒有受損
00:48:47:27 太好了
00:48:48:25 對, 因為是鄉民們自己蓋的
00:48:51:24 當然我也有過
00:48:53:03 是希望工程辦公室蓋的
00:48:54:24
00:48:56:13 你還有沒有什麼
00:48:57:12 你自己很想完成
00:48:58:26 但是還沒完成的事情
00:49:00:26
00:49:02:02 我有一些理論書
00:49:04:03 繪畫的理論書
00:49:05:26 現在版子已經壞掉了
00:49:07:10 但是我希望能把它出版
00:49:10:19 還是跟畫畫有關的
00:49:11:20 對...
00:49:12:22 這是你一直以來
00:49:14:05 就是我覺得是不是...
00:49:15:23 你該不會到了七, 八十歲
00:49:17:08 還是會在雪地裡面
00:49:19:02 拿著個小板子
00:49:20:05 然後在那邊畫啊畫的
00:49:21:18 還是會的
00:49:22:16 還是會的
00:49:23:05 對
00:49:23:16 這個是你...
00:49:24:05 我寧可壯烈的死
00:49:26:06 絕不苟且的生
00:49:27:18
00:49:29:15 一定要這樣嗎, 老師
00:49:31:14 本來就是這樣啊
00:49:32:22 人活在這世界上是應該這樣
00:49:35:03 最重要的對象應該是自己
00:49:37:10 所以我覺得每一個作家
00:49:39:04 要為自己說話
00:49:40:24 也為時代說話
00:49:42:24 當我寫給我孩子的時候
00:49:44:08 為什麼會引起這麼多共鳴
00:49:46:10 因為我把每一個人的孩子
00:49:47:27 都看成自己的孩子
00:49:49:23 如果自己的孩子不好
00:49:52:08 要照顧別人
00:49:53:19 你在別人的身上
00:49:54:20 你就發現
00:49:55:06 別的孩子也有痛苦
00:49:57:10 別的家庭也有缺陷
00:49:59:04 這時候你回頭
00:50:00:15 再來看自己的孩子
00:50:01:29 你就會泰然達觀
00:50:04:23 你可以得到一種進化
00:50:07:00 所以活得寬敞嘛
00:50:09:10 謝謝你的畫裡面有故事
00:50:11:06 你的故事裡面有畫
00:50:12:26 有畫面
00:50:14:04 我超級的平凡
00:50:16:17 有一切平凡人的缺點
00:50:18:18 但是也感謝這個平凡
00:50:20:16 讓我能夠從平凡人的角度
00:50:22:14 看平凡人的世界
00:50:24:11 而且在這當中
00:50:25:23 看到平凡人偉大的地方
00:50:28:03 那我想代表平凡人也謝謝你
00:50:30:16 謝謝你為平凡人做了記錄
00:50:32:05 謝謝
00:50:33:06 希望以後的人
00:50:34:20 再回頭看我們這一代人的時候
00:50:37:00 知道原來我們過過
00:50:38:13 這樣子的日子
00:50:39:14 是的
00:50:39:27 看過這樣子的畫面
00:50:41:00 是的
00:50:41:19 活過這樣的當下
00:50:42:26 是
00:50:43:12 謝謝劉墉老師
00:50:44:03 謝謝
00:50:44:23 謝謝...謝謝寶儀
00:50:45:25 謝謝各位觀眾
00:50:46:25 謝謝
00:50:47:27
