01:00:30:09	01:00:33:14	巨大的章魚腳攀附在建築物上
01:42:22:28		好像我們如果住在東區的話
01:42:24:23		每個鄰居家裡其實都有一疊
01:42:26:22		然後到吃飯啊
01:42:27:21		或者是要買東西的時候
01:42:28:23		就打開來看
01:42:29:21		今天我們去這裡
01:42:32:08		其實真的挺好的
01:42:33:12		其實我覺得不只是東區
01:42:34:25		我覺得每個社區
01:42:36:02		都應該有一份自己的互動的
01:42:40:07		不管是報紙也好
01:42:41:12		甚至是一小張紙也好
01:42:43:08		就是讓大家知道
01:42:44:12		最近又發生什麼事了
01:42:45:28		我們哪裡可以聚一聚了
01:42:47:18		然後我們到底有什麼特色
01:42:49:21		是我們很驕傲可以告訴別人
01:42:51:12		它不只是一個
01:42:52:16		你晚上回家休息
01:42:53:27		跟家人相聚的地方
01:42:55:10		打開門
01:42:56:11		這身邊的人跟你都是有關係的
01:42:59:11		而且當然因為東區嘛
01:43:01:05		就是我們剛剛也說商業機制
01:43:02:17		不只是住在那裡
01:43:03:18		很多人來來去去...
01:43:05:14		有一些比較大型的
01:43:07:01		挺令人驚訝的
01:43:08:27		有讓我嚇到的
01:43:10:11		像我們後面的這一朵花
01:43:11:16		其實這一朵花
01:43:12:11		也來得挺不容易的
01:43:13:22		對...
01:43:14:10		其實剛剛我們在休息室的時候
01:43:15:13		寶儀在講說好害怕喔
01:43:16:28		好害怕, 對
01:43:17:25		其實我好喜歡寶儀的說法
01:43:20:01		就是說我覺得
01:43:21:24		在粉樂町做了八年
01:43:23:29		我其實基本上
01:43:24:21		應該就是從頭到尾了
01:43:26:16		這件事情
01:43:27:05		我覺得我最喜歡
01:43:28:16		就是被這件事情那個突兀感
01:43:31:14		注意到那個突兀感的觀看者
01:43:35:21		其實這個花其實得來不易
01:43:38:16		因為真的是...
01:43:39:19		它是一個
01:43:40:06		現在韓國非常非常當紅的
01:43:42:14		當代藝術創作者叫崔正化
01:43:44:23		這個藝術家非常的有性格
01:43:46:11		所以他其實在國際間
01:43:47:24		享有盛名的就是說
01:43:49:02		要借他的作品是很困難的
01:43:51:02		那另外他的作品在歐洲
01:43:52:13		很多大型的這個什麼競技場啦
01:43:55:02		美術館啦
01:43:56:09		甚至在歷史博物館
01:43:57:22		租在大型的復古空間裡面展出
01:44:00:27		那他的概念性也是在
01:44:03:01		就是這個現代工業化材質
01:44:06:10		做一個大尺寸的放大之後
01:44:08:11		他去呼應, 跟歷史的對應等等
01:44:10:22		就是這個反差這樣
01:44:12:11		那便宜的物件
01:44:14:03		他做了很多便宜的工業素材
01:44:16:18		但是創造了一個
01:44:18:06		無價的視覺美感跟張力
01:44:20:02		這就是他的概念
01:44:21:10		然後這個作品來了以後
01:44:22:15		它超乎他的想像
01:44:24:21		原來的來的一朵很大的花
01:44:26:14		那個花是從歐洲過來的
01:44:28:08		然後它來台灣之後
01:44:29:28		其實在第二個禮拜
01:44:31:14		展覽的過程裡面就破損了
01:44:33:19		對
01:44:34:08		因為就是有很多民眾
01:44:35:21		他們對於充氣這件事情
01:44:37:07		對於很多...
01:44:38:26		我覺得這還是市民美學的素養
01:44:40:18		就很多家長帶著孩子
01:44:42:16		像很有趣
01:44:43:17		寶儀覺得很害怕, 不敢親近
01:44:45:07		可是有很多的孩子
01:44:47:18		他們把它想像就是一種遊戲床
01:44:50:06		像遊樂場
01:44:51:04		遊樂場這樣子的
01:44:52:18		然後又在廣場裡面柔軟
01:44:54:19		他去摸
01:44:55:03		他覺得不恐怖的時候
01:44:56:03		他就是它搭下來
01:44:57:11		他就跳上去
01:44:58:05		搭下來就跳上去
01:44:59:08		結果這個花就壞了
01:45:00:23		那壞了以後
01:45:01:17		我要講的是說
01:45:02:27		崔正化在這個過程裡面
01:45:04:12		我覺得他展現了一個專業的
01:45:06:25		國際級藝術家的一種心胸
01:45:09:10		我們告訴他這個過程以後
01:45:10:27		他說你等我
01:45:12:24		我會再製一朵新的
01:45:14:14		尺寸稍小
01:45:15:28		然後大概會避開這個颱風之後
01:45:18:08		把它寄送到你那裡
01:45:19:20		讓它能夠展到展期結束這樣
01:45:22:11		然後原來那朵大的花
01:45:24:04		就在台灣廢棄
01:45:26:15		這件事情都是我們
01:45:27:17		在展覽過程裡面的...
01:45:30:19		我覺得是故事
01:45:31:13		但是我覺得這是最支撐我
01:45:34:01		覺得這件事情
01:45:34:27		可以一直做下去的原因
01:45:36:27		就是你喜歡跟從事創意的人工作
01:45:40:12		然後你看到裡面這個人情味
01:45:42:15		感覺十年的時候
01:45:44:04		你們會集結成一本挺厚的書
01:45:46:06		告訴大家每一個展品
01:45:48:05		多麼得來不易
01:45:49:17		然後它又去了哪裡
01:45:51:00		是
01:45:51:18		因為我覺得一個展品
01:45:52:23		它旅行的過程
01:45:54:27		其實也挺妙的
01:45:55:24		對
01:45:56:11		我相信這朵花
01:45:57:02		如果在別的展場展覽
01:45:59:06		可能有不同的命運
01:46:00:10		因為它會碰到不同的天氣
01:46:01:13		對
01:46:01:29		它會碰到不同的人
01:46:02:27		空間也絕對不一樣
01:46:03:22		大家看著它的感覺也會不一樣
01:46:05:16		就好像我們剛剛私底下說的
01:46:07:05		小朋友看到這朵花
01:46:07:28		覺得說好好玩喔
01:46:09:02		因為它會開合
01:46:09:28		對...
01:46:10:26		你都不知道
01:46:11:16		我走過它的時候
01:46:12:06		我看到它開合
01:46:12:29		我想說好可怕
01:46:14:08		它要把我吃掉了
01:46:15:14		可是你知道
01:46:16:20		很有意思的就是
01:46:17:16		其實如果對於紅色
01:46:18:29		還有對於這個尺寸
01:46:21:02		其實事實上
01:46:22:13		寶儀是非常正確的
01:46:24:21		就是在這個...
01:46:27:06		我覺得在心理學上面來講
01:46:29:04		這個顏色, 它的顏色
01:46:30:23		還有其實
01:46:31:25		原來在崔正化創作的概念裡面
01:46:34:22		他是要驚嚇的
01:46:36:06		不過我覺得
01:46:36:25		如果能夠在生活當中
01:46:39:16		跟這些藝術品有互動
01:46:41:12		對
01:46:41:28		然後有想法
01:46:43:26		其實那就是
01:46:44:10		藝術存在在我們生活當中
01:46:46:01		很重要的一個意義
01:46:47:11		因為很多時候我們走過那條路
01:46:49:10		其實也就過去了
01:46:50:13		那棟建築物永遠在那裡
01:46:51:26		它也不會變
01:46:52:27		風吹雨打
01:46:53:27		但是多了一朵花的時候
01:46:55:15		你對那個路口的想法
01:46:56:23		突然就複雜了
01:46:58:09		然後心情也就...
01:47:00:02		這就是藝術很了不起的所在對, 真的很棒的地方
01:47:02:15		對... 真的...
01:47:03:10		其實有時候你去細想
01:47:04:23		藝術到底能幹嘛
01:47:06:01		有的人看到一種粉紅色
01:47:07:21		你會覺得好羅曼蒂克
01:47:09:15		其實藝術大概真正厲害就是說
01:47:11:21		它無聲無息
01:47:13:01		它就提點了你某種情緒
01:47:14:28		或某一種感知
01:47:16:00		變得很強烈
01:47:17:08		這個東西就是藝術最厲害的地方
01:47:19:25		而聊完粉樂町之後
01:47:20:25		我覺得其實我們要跟大家介紹
01:47:22:09		因為富邦其實做了很多事情
01:47:24:00		剛剛我們說媒婆報嘛
01:47:25:15		然後我們有粉樂町
01:47:26:15		雖然一年只能就看到它兩個月
01:47:29:21		但是對我們來說
01:47:30:17		也是很值得期待的事情
01:47:32:08		可是富邦一直有在做一個
01:47:33:09		很特別的事情
01:47:33:29		就是富邦講堂
01:47:36:01		這個就是雨致
01:47:36:22		要好好為我們介紹一下的了
01:47:38:22		富邦講堂其實有分兩個部分
01:47:40:06		一個是付費跟免費的
01:47:41:21		你們是怎麼區分
01:47:42:18		怎麼邀請這些主題跟來賓呢
01:47:45:23		我們免費的講座
01:47:46:16		是從二○○八年開始
01:47:48:12		然後那個時候
01:47:49:02		是因為執行長覺得說
01:47:50:12		如果我們要做推廣的話
01:47:51:26		我們其實應該要把門檻降低
01:47:53:23		就是讓大家一起進來
01:47:55:01		如果我們一次的講座
01:47:56:02		可以讓四, 五百人進來
01:47:57:11		這是最好的
01:47:58:12		所以我們從二○○八年開始
01:47:59:27		我們就開始做免費的講座
01:48:01:14		在講堂這邊
01:48:02:14		我們做這兩種系列的規劃上面
01:48:05:04		有不同的路線
01:48:06:08		比如說免費的講座
01:48:07:07		我們盡量是以大師為主
01:48:09:21		比如說像李安導演
01:48:11:13		然後普立茲克建築獎大師
01:48:12:28		理查．邁爾(Richard Meier)
01:48:13:29		或是伊東豊雄大師
01:48:15:09		就是來到台灣
01:48:16:12		我們就會很盡快的跟他們接觸
01:48:18:07		然後讓他們來到富邦講堂
01:48:20:01		然後用免費的方式讓大家參與
01:48:22:03		所以我們其實就是希望讓...
01:48:25:16		除了說這些國際的大師之外
01:48:27:14		其實富邦講堂
01:48:28:11		我們也連續跟金馬影展
01:48:30:07		合作了五年的選片指南這樣
01:48:32:26		所以我們在大型的講座
01:48:34:18		這個部分我們盡量是用
01:48:35:26		這樣的方法去操作
01:48:37:14		那小型的講座
01:48:38:15		我們是用比較系列性的
01:48:40:07		這個系列性的部分
01:48:41:07		就是他可能是
01:48:42:05		我們挑選一些比較新銳的講師
01:48:44:15		這些講師他們就是很有想法
01:48:46:19		然後他們也很願意
01:48:47:26		就是在講座的現場
01:48:49:12		提供一些很不一樣的體驗
01:48:51:08		好比說我們可能設計系列
01:48:52:18		我們曾經有邀請過吳東龍
01:48:54:14		他可能就會介紹
01:48:55:12		整個東京的飲料的包裝
01:48:57:14		所以在課堂上面
01:48:58:13		他就把他在東京
01:48:59:29		蒐集到的飲料包裝
01:49:00:26		可能有四, 五百張的照片
01:49:02:18		全部都貼滿了教室
01:49:04:18		所以學員一進來的時候好像進了便利商店的感覺
01:49:06:28		好興奮喔
01:49:07:17		然後大家就比較
01:49:08:18		啤酒是這樣子的
01:49:09:19		然後茶是這樣子的
01:49:11:06		所以我們其實在小型的課程裡面
01:49:13:09		對, 就是會盡量用
01:49:15:04		比較能夠跟大家互動的方式
01:49:17:06		然後去構思一些
01:49:19:12		比較精緻的課程這樣
01:49:21:11		我們有個成立的宗旨
01:49:22:14		叫藝術生活化
01:49:24:12		聽起來很標語對不對
01:49:25:16		生活藝術化
01:49:27:05		可是我後來
01:49:27:28		我在這邊做了十四年的事情
01:49:30:09		我後來就發現
01:49:31:04		真的就是繞在這兩句話裡頭
01:49:35:26		規劃所有的事情
01:49:36:23		不是把它生活化
01:49:37:24		就是把它藝術化
01:49:39:10		就是這兩造
01:49:40:12		就是一直在這個裡面
01:49:41:08		去創造所有的事情
01:49:43:20		所以其實就像您講的嘛
01:49:45:05		就是一般生活的食衣住行
01:49:48:11		可是裡頭讓它藝術化
01:49:50:15		然後很藝術化的粉樂町展覽
01:49:52:26		讓它進入到
01:49:53:22		人間燈火裡面生活化
01:49:55:21		大概就在...
01:49:56:07		我們的事情
01:49:56:25		大概就在這兩件事情上面
01:49:58:06		這也就是我們的任務啊
01:50:00:02		所以我認為粉樂町在未來
01:50:01:27		後面的幾年是應該做一個研究
01:50:05:09		這個研究是
01:50:06:07		當一個企業願意投入
01:50:08:00		這樣的實力在社區十年之後
01:50:10:18		它在十年締造的回應是什麼
01:50:14:00		那我覺得後面才是所謂重頭戲
01:50:16:27		就是它社區的回應
01:50:18:11		它應該是很多論文可以去做的
01:50:20:16		這個鄉野調查的一個範本
01:50:23:15		所以文化跟藝術之間
01:50:25:01		它是不是能夠在這樣
01:50:27:01		其實短短的十年
01:50:28:19		這裡頭它能夠創造什麼
01:50:30:10		也證明了很多文化性的事情
01:50:32:16		是沒有辦法擦乾淨的
01:50:35:01		它必須要一個持續
01:50:36:22		真的非常謝謝兩位媒婆
01:50:38:10		謝謝...
01:50:38:26		謝謝你們
01:50:39:16		就是這麼辛苦的為大家連結著
01:50:42:14		藝術與生活
01:50:43:16		生活與藝術
01:50:44:18		希望我們都能夠找到很好的因緣
01:50:46:16		在我們的生活當中
01:50:47:26		謝謝兩位
01:50:48:16	01:50:50:03	謝謝...
