00:00:35:08 在劇場燈光下
00:44:47:02 應當要自己反省一下
00:44:48:13 這是一個感恩的作品, 感覺
00:44:50:22 我不曉得, 我不是這樣想
00:44:51:22 結尾大家一起唱「感恩的心」
00:44:53:07 我的媽啊
00:44:54:28 我不是這樣想
00:44:55:20 但是也許它自然
00:44:57:02 就這麼流露出來了
00:44:58:18 但總而言之它就是喜劇
00:45:00:09 喜劇畢竟是追求笑料
00:45:03:13 你看了以後要開心的
00:45:05:01 這個相聲瓦舍
00:45:05:27 我們要面對我們的觀眾
00:45:07:25 面對長久以來支持我們的觀眾
00:45:09:17 不能隨便變質的
00:45:11:00 說觀眾來看了突然變成一個
00:45:12:13 好像沒有...
00:45:13:03 是完全是個人剖析的這種東西
00:45:14:25 應該是不至於要這樣子
00:45:16:25 所以想要放輕鬆一點的
00:45:19:08 觀眾也是可以進去
00:45:20:24 嘗試一下相聲瓦舍
00:45:22:07 不只是只有兩個人穿著長袍
00:45:24:18 或兩, 三個人穿著長袍
00:45:26:11 走來走去...
00:45:27:19 這次完全不穿長袍
00:45:28:17 這次都是現代人
00:45:30:27 很期待
00:45:31:22 那其實我覺得我們再回頭
00:45:33:11 聊一點點
00:45:34:09 有關於相聲瓦舍的事情就是
00:45:36:09 因為相聲瓦舍其實這些年來
00:45:38:06 在我覺得尤其是兩岸喔
00:45:40:17 都演出了非常多場
00:45:42:06 那好像在
00:45:43:22 像在大陸
00:45:44:29 有很多不只是喜歡相聲的朋友
00:45:48:01 甚至是連相聲界內的朋友
00:45:50:06 都對相聲瓦舍有非常高的評價
00:45:53:21 您自己是怎麼看待就是
00:45:56:03 現在兩岸的相聲環境
00:45:57:09 到底是怎麼樣
00:45:58:08 我還是這樣認為
00:45:59:06 如果這個叫以文會友
00:46:01:01 我們居然有足以讓大家來探討
00:46:04:12 足以讓大家建構話題的作品
00:46:06:24 來跟大家來交流的話
00:46:08:05 這是我覺得太幸運的一件事情
00:46:11:08 這也是代表
00:46:12:13 兩邊的生活品質也好
00:46:14:16 或對於言論這個尺度
00:46:17:18 或對於大家思考的自由度的
00:46:21:07 這一種探討或者是交流
00:46:23:26 交換意見
00:46:25:14 能夠以相聲, 能夠以作品
00:46:27:27 來作為一種媒介的話
00:46:30:04 這是太幸運的一件事情
00:46:32:18 我的一切的關心還是在作品
00:46:36:19 關心這個作品
00:46:37:18 與觀眾之間的這種
00:46:41:02 碰撞, 溝通, 交流
00:46:43:14 這是我真正關心的
00:46:45:04 我覺得我們現在能夠
00:46:46:09 把我們的作品能夠做到好
00:46:49:08 居然能夠去他們那兒演
00:46:50:23 我就已經覺得很優越了
00:46:52:08 為什麼
00:46:52:28 你有聽說過大陸的相聲演員
00:46:55:12 經常在台灣巡迴嗎
00:46:57:17 可能偶爾有貴賓來, 對不對
00:46:59:16 可是我們好像經常去, 對不對
00:47:02:24 你好高興
00:47:04:15
00:47:05:14 你平均來講一年要去幾次
00:47:07:07 不, 現在不只啊
00:47:08:20 因為現在講的話不準確
00:47:10:17 「寶島一村」
00:47:11:28 「那一夜, 在旅途中說相聲」
00:47:13:26 它連續的在演出中
00:47:16:06 雖然賴老師這個作品
00:47:17:19 「那一夜, 在旅途中說相聲」
00:47:19:05 我跟屈中恆
00:47:20:11 暫時沒有後面的場次安排吧
00:47:23:05 也演到... 我看
00:47:24:17 也演了幾十場了其實
00:47:25:25 五十場了
00:47:26:07 對啊
00:47:26:23 「寶島一村」演到第一百五十場了
00:47:28:07 是啊
00:47:28:29 「寶島一村」後面還有啊
00:47:30:10 我們二○一四年的各種邀約都還在
00:47:33:10 所以相聲瓦舍的那個
00:47:35:20 我們現在跟對岸討論的
00:47:38:13 這個演出計畫
00:47:40:27 至少有兩組在討論
00:47:42:14 這個演出計畫
00:47:44:11 不會停下來
00:47:45:00 我覺得也不要停下來
00:47:46:20 因為在華文世界
00:47:48:22 在這個中華文化圈
00:47:50:20 能夠以相聲作為一個話題
00:47:53:00 以文會友
00:47:54:08 大家來切磋
00:47:55:23 躬逢其盛, 我覺得
00:47:57:08 那未來您會覺得
00:47:58:05 相聲會走到一個什麼樣的
00:47:59:29 如果相聲能夠走進「迷香」這種
00:48:02:17 放鬆的喜劇的格局的話
00:48:04:09 我認為是非常好的
00:48:05:13 因為相聲它只不過是一個形式
00:48:08:02 是
00:48:09:04
00:48:09:25 二人傳是一個形式
00:48:11:23 獨角戲是一個形式
00:48:13:23 我們每一個人
00:48:14:13 如果都能活用這些形式
00:48:16:09 今天我們這個作品用到了這些
00:48:18:10 明天我們那作品用到了那些
00:48:20:05 大家都能夠活用形式
00:48:22:00 而開放心胸來進行創作的話
00:48:24:25 那才是真正有前途
00:48:26:25 你不然你就說
00:48:27:21 趙本山按照規定得要演這樣的
00:48:30:01 周立夫按照規定得要演那樣的
00:48:32:14 這個就多沒意思啊, 對不對
00:48:34:07 我認為
00:48:35:01 趙本山老師最近有一些看法
00:48:37:03 有一些見解
00:48:37:22 他認為
00:48:38:11 他也是說相聲的
00:48:39:24 他不但是小品的創造者
00:48:41:18 他也是二人傳
00:48:43:05 它作為他開端
00:48:44:10 他當然是獨角戲演員
00:48:46:06 所以他什麼他都承認他都是
00:48:48:25 我認為趙本山老師
00:48:49:24 有一個格局了
00:48:50:17 這個格局這個示範非常的好
00:48:52:21 這個言論非常的好
00:48:54:05 我覺得我們所有喜劇的創作者
00:48:56:20 喜劇的扮演者
00:48:57:28 相聲的愛好者
00:48:59:11 這個海派清口的愛好者
00:49:01:18 小品的愛好者
00:49:02:18 應當要融於一爐
00:49:04:11 心胸上要融於一爐
00:49:06:15 而且現在也開放給年輕的朋友
00:49:09:22 大家來試試嘛
00:49:10:03 然後進入這個世界
00:49:11:15 你以前有看過相聲瓦舍的作品嗎
00:49:14:07 你知道馮老師是高高在上
00:49:17:02 德高望重的前輩嗎
00:49:18:29 重歸重我知道
00:49:20:08 重就是重, 好不好
00:49:21:10 你就是為了講重這個字
00:49:23:10
00:49:24:17 你有看過嗎
00:49:25:06 有, 我看過
00:49:26:17 然後譬如說我開始排戲之後
00:49:28:19 我周遭的朋友都說
00:49:30:00 好好喔, 對不對
00:49:31:15 馮老師跟少卿哥
00:49:32:25 他們都是我的偶像
00:49:34:05 我說對啊, 他們也是我的偶像
00:49:36:20 所以能夠有這個機會
00:49:37:20 我覺得對我來說
00:49:38:15 真的好難得...
00:49:40:00 所以你看
00:49:41:10 其實不知不覺
00:49:42:20 你們已經影響了不只一代人了
00:49:45:10 今天非常謝謝馮老師
00:49:46:19 謝謝寶儀也非常謝謝亞里
00:49:47:17 我希望能夠期待
00:49:49:01 相聲瓦舍不只是
00:49:50:15 傳承了很多很好的藝術在裡面
00:49:52:28 也能夠帶給大家更多的快樂
00:49:55:02 我覺得能夠笑
00:49:56:29 那是一個非常大的福分
00:49:58:13 而這個福分
00:49:58:29 希望能夠一直延續下去
00:50:00:12 它就是我們的生活的幸福感
00:50:04:05 這是我們追求的
00:50:05:17 謝謝兩位, 謝謝
00:50:06:22 謝謝
00:50:07:09 謝謝寶儀, 謝謝
00:50:08:13
