01:00:30:15	01:00:31:09	你看
01:45:52:09		輕鬆, 幽默的方式來談
01:45:53:19		怎麼從頭笑到尾
01:45:55:00		對
01:45:56:00		因為我們過去
01:45:57:24		國修老師也是這樣
01:45:59:08		講任何嚴肅的課題
01:46:00:18		最後面其實都是
01:46:02:10		他會用非常詼諧的方式
01:46:03:26		在前面帶過
01:46:05:09		可是看完你永遠會知道
01:46:08:10		他一定留下什麼讓你可以思考
01:46:10:28		這過程當中我也期望
01:46:13:15		幾位能夠做出這樣的作品出來
01:46:16:15		我覺得能夠說共同的故事
01:46:18:11		有著共同的回憶
01:46:19:25		那是劇場最美的地方
01:46:22:01		而且是無可取代
01:46:23:10		是別的媒材, 媒介
01:46:25:16		都無可取代的
01:46:27:00		所以最後來, 導演說一下
01:46:29:04		演出的時間
01:46:30:03		十月四號
01:46:31:11		台南文化中心
01:46:32:17		我們首演
01:46:33:20		然後就開始展開這個全台巡演
01:46:35:25		一直到十一月二十九, 三十
01:46:37:29		在台北市的親子劇場
01:46:41:21	01:46:43:10	中間還有哪些呢, 廠長
01:46:44:02		他要補充了
01:46:44:29		十月十一號
01:46:45:24		我們在台中的葫蘆墩
01:46:48:26		然後十八號
01:46:51:04		就在我們現在單子上面的
01:46:52:24		第二個地方
01:46:54:11		高雄市社教館
01:46:56:09		接下來二十四號
01:46:57:16		我們會在高雄的衛武營
01:47:00:01		衛武營
01:47:01:09		然後三十一號到十一月一號
01:47:04:06		這兩天我們在東吳大學
01:47:06:27		然後緊接著就到了親子劇場
01:47:09:13		對
01:47:10:14		你要補充什麼
01:47:11:08		我要補充的是說
01:47:12:05		大家會發現為什麼我們的場次
01:47:14:04		跟巡迴地點來講
01:47:16:07		不像以往比如說
01:47:17:22		像屏風啊, 像比較大的劇團
01:47:19:14		就比如說北中南
01:47:21:13		然後排得很好
01:47:22:09		對, 有次序的
01:47:23:09		為什麼呢
01:47:24:00		就是因為我們是一個新的團體
01:47:25:28		對, 所以這個看得到
01:47:27:20		我們廠長的辛苦
01:47:28:28		背後的辛苦
01:47:29:16		那當然很多地方都有一些邀約
01:47:31:21		可是畢竟我們是新的團
01:47:33:17		所以沒有辦法在一年前
01:47:35:07		就拿到檔期或什麼的
01:47:36:19		所以真的還是需要大家的支持
01:47:39:06		包含年底
01:47:40:00		我們都還要去金門演出
01:47:41:18		也算滿特別的, 對
01:47:43:14		我們的作品會帶到金門去
01:47:45:07		我覺得在第一年
01:47:46:07		能夠推出兩個全新的創作
01:47:48:19		然後又都是很好的票房的話
01:47:51:10		其實對於你們接下來要走的路
01:47:53:17		應該就是一個非常好的強心針
01:47:55:15		大家都知道
01:47:56:12		要賺錢喔
01:47:57:03		先找他們合作啦
01:47:58:28		他們還挺會賣票的喔
01:48:00:07		而且觀眾看完也都挺開心的
01:48:02:04		我覺得
01:48:02:22		觀眾要喜歡
01:48:03:13		對, 觀眾要喜歡
01:48:04:21		那我們期許這個故事工廠
01:48:06:26		就像你們剛說的
01:48:08:02		能夠繼續生產更多
01:48:09:29		這個時代說的話
01:48:11:19		然後更多更生活化的故事
01:48:13:29		希望大家
01:48:14:26		這就是國修老師
01:48:15:21		綿裡針啦
01:48:17:01		雖然感覺上好像鬆鬆軟軟的
01:48:19:07		很容易消化
01:48:19:29		但其實裡面都有很多
01:48:20:25		糖衣藥丸
01:48:22:03		很多很有衝擊的東西
01:48:23:26		想要跟大家分享
01:48:25:14		那辛苦了, 大家
01:48:26:20		就加油囉
01:48:27:16		好的
01:48:28:02		謝謝三位
01:48:28:21	01:48:31:04	謝謝...
