01:00:08:20	01:00:10:25	阿嬤, 你叫什麼名字
02:09:04:05		叫你抱就抱
02:09:05:14		抱就有樂透頭獎
02:09:06:29		快... 快去啦
02:09:08:29		不要來喔...
02:09:10:27		不要...
02:09:12:14	02:09:15:04	不要過來...
02:09:15:20	02:09:17:14	你不要過來
02:09:18:16		快點啦
02:09:19:20		當年要不是我把你抱走
02:09:20:28	02:09:23:09	你早就給別人當小孩了
02:09:23:27		是你雞婆
02:09:25:11		要不是你
02:09:26:18		我現在是有錢人的小孩
02:09:28:20		你快抱
02:09:29:07		還在那邊窸窸窣窣
02:09:31:04	02:09:33:20	不要...
02:09:34:11	02:09:35:23	不要喔...
02:09:38:22		快把他抱走...
02:09:42:03	02:09:44:25	把你阿爸擋住...
02:10:02:12		阿星呢
02:10:03:13		我要把他抓去賣
02:10:04:12		阿爸, 不要啦
02:10:05:05		不要把阿星賣掉
02:10:06:18		不要...
02:10:07:09	02:10:08:01	你走開
02:10:09:04	02:10:10:16	閃
02:10:25:19		不要怕
02:10:27:18		我們家再怎麼窮
02:10:29:17		頂多我吃少一點
02:10:31:22	02:10:35:08	一定有辦法養你這個弟弟
02:10:50:19	02:10:52:21	阿爸應該追不上了
02:10:59:22		大哥
02:11:00:27		有年紀了
02:11:01:15		平常要多運動
02:11:03:13	02:11:06:05	那是你平常在國外吃太多了
02:11:09:18	02:11:11:15	你剛剛叫我什麼
02:11:12:16	02:11:14:06	是我聽錯嗎
02:12:08:21		阿嬤, 你看
02:12:10:17	02:12:12:04	你還記得嗎
02:12:12:16		在我們小的時候
02:12:14:12		你都會帶著我和哥哥
02:12:16:01		在這庭院下穿蚵殼
02:12:19:09	02:12:21:09	記得嗎
02:12:53:29		好了...
02:12:54:26	02:12:57:04	放著...
02:13:01:27	02:13:03:23	來, 阿星
02:13:04:29		多吃一些肉
02:13:06:11	02:13:09:03	才不會瘦巴巴
02:13:10:02		我還記得阿星小的時候
02:13:12:00		都長不大
02:13:13:27		阿母就剖蚵仔比別人還晚
02:13:17:15	02:13:19:28	就是要讓阿星有肉可以吃
02:13:24:06		阿母
02:13:25:22		是我不孝
02:13:27:21		這麼多年都沒有回來陪你
02:13:31:10		跟我去澳洲
02:13:33:13	02:13:36:07	我找最好的醫生醫你
02:13:38:23	02:13:40:00	不用啦
02:13:40:20		阿母現在有年紀了
02:13:42:04	02:13:44:19	哪有辦法坐這麼久的飛機
02:13:46:17		這樣啦
02:13:47:29		阿母也不用輪來輪去
02:13:49:18		乾脆住我這邊就好
02:13:51:05		我找台大的醫生
02:13:52:08		不會比你國外的還差
02:13:54:03	02:13:56:06	我負責把阿母醫好
02:13:57:04		你們兩個都不用這麼麻煩啦
02:13:58:23		乾脆阿母來我們家打麻將就好
02:14:01:04	02:14:04:09	聽說打麻將就不會老人癡呆症
02:14:07:02	02:14:08:17	海仔
02:14:09:20	02:14:12:02	你不是住在台北
02:14:13:29		星仔
02:14:15:19	02:14:18:06	你不是住在澳洲
02:14:18:28	02:14:21:23	怎麼回來這裡
02:14:22:12	02:14:25:28	阿母, 他們是來掃墓的
02:14:26:21		對啦...
02:14:28:04	02:14:29:10	回來掃墓...
02:14:36:04		老伴, 你看到了沒有
02:14:38:26		你的子孫都回來看你了
02:14:42:05		你在地下
02:14:43:22	02:14:47:23	應該感到很高興, 安慰才對
02:14:56:14		海仔
02:14:57:15	02:14:59:21	你怎麼不先去拜
02:15:03:13	02:15:05:02	山仔先
02:15:12:07	02:15:14:24	我們這幾個很久沒...
02:15:16:14		看到這些小孩在跑
02:15:18:17		就想到我們以前孩提時候
02:15:20:23		要不然我們也脫鞋跑一下
02:15:22:26		好...
02:15:24:28		來啊
02:15:26:00		很久沒赤腳了
02:15:27:04	02:15:28:05	來啊
02:15:29:09		跑了
02:15:30:00		好...
02:15:31:28	02:15:34:04	阿母, 你慢慢走
02:15:36:09		Michael第二個
02:15:37:27		快點...
02:15:38:20	02:15:40:00	催下去...
02:15:41:09		都踢不到阿星
02:15:42:10		來踢露營車
02:15:43:21		露營車
02:15:44:04		不要...
02:15:47:10	02:15:48:03	不要喔
02:15:49:04		阿母
02:15:50:09		他們大家都和好了
02:15:52:09		我在想你就不用再裝了
02:15:55:25		要不然這樣
02:15:56:24		等一下你就假裝想起來
02:15:59:04		叫我的名字
02:16:00:06		我就大喊阿母醒了
02:16:01:21	02:16:03:11	這樣好嗎
02:16:03:21		好
02:16:04:07	02:16:05:19	好...
02:16:07:27		阿霞
02:16:09:08	02:16:10:25	還沒...
02:16:15:16	02:16:17:04	阿霞...
02:16:18:03		阿母醒了
02:16:19:09		阿母好像醒了
02:16:20:27	02:16:23:01	她剛剛叫我的名字
02:16:26:24		阿母
02:16:28:09		阿嬤...
02:16:29:11	02:16:33:18	阿母...
02:16:39:04	02:16:41:20	阿母, 你要不要緊
02:16:45:08	02:16:46:29	阿山
02:16:49:00	02:16:51:01	阿海
02:16:51:14		阿星
02:16:53:05	02:16:55:22	阿母, 你記得我們了嗎
02:16:57:20		阿母從來就沒把我們忘記
02:17:01:10	02:17:03:26	她失憶是假的
02:17:04:19	02:17:06:18	為什麼要這樣
02:17:07:03		因為你們為了樂透吵成那樣
02:17:10:12		阿母說她沒中
02:17:11:22		你們也不相信
02:17:13:15	02:17:16:15	結果逼得阿母裝失憶
02:17:17:29	02:17:20:17	阿母, 我帶你去給醫生看
02:17:21:29	02:17:23:28	不用啦
02:17:26:17	02:17:32:27	佛祖說要笑二十四小時
02:17:35:26		我可以看到你們兄弟那麼和好
02:17:43:01	02:17:46:17	我就很滿足了
02:17:49:22	02:17:50:29	阿嬤
02:17:52:16		阿嬤, 你起來跟我說話啦
02:17:55:17	02:17:57:08	阿嬤
02:17:57:20		不要吵阿嬤啦
02:17:59:16	02:18:01:21	讓阿嬤休息
02:20:07:18	02:20:08:27	阿母呢
02:20:11:13		起來了
02:20:12:23	02:20:14:13	起來了
02:20:15:05	02:20:16:25	阿母不見了
02:20:20:15	02:20:21:27	怎麼了
02:20:22:28		阿嬤
02:20:24:14		阿母呢
02:20:25:20		阿母呢
02:20:26:26		阿母
02:20:28:03	02:20:29:26	阿嬤阿母...
02:20:34:02	02:20:35:20	在這裡啦
02:21:11:06		思妤, 你這個傻女孩
02:21:14:00		你這樣是在幹嘛
02:21:16:15		阿母...阿嬤...
02:21:20:10	02:21:22:18	阿母還活著
02:21:23:18	02:21:26:04	阿嬤, 你跑去哪裡
02:21:29:17		我作了夢
02:21:31:17	02:21:34:28	夢得很久很久
02:21:35:11		一直走...
02:21:38:10		不知道走去哪裡
02:21:41:01		到最後
02:21:43:14		我遇到一群小孩子在叫我
02:21:46:15	02:21:49:02	我才轉身走回來
02:21:50:15		阿母...阿嬤...
02:21:57:21	02:21:59:11	在這裡啦
02:22:07:12	02:22:09:06	在這裡啦
02:22:13:00		我看我們這間祖厝
02:22:15:01		要稍微整理一下
02:22:16:03		不然隨便就能看到隔壁去了
02:22:19:22		好險我都沒被你看到
02:22:22:04	02:22:24:27	我那個床板就好像翹翹板
02:22:25:11		如果要弄
02:22:26:14		乾脆一次把它弄好
02:22:28:07	02:22:29:20	這樣比較省
02:22:30:04		有道理喔
02:22:30:22		你那個露營車先賣掉
02:22:32:04		貼補這些
02:22:33:09		好啊, 沒差
02:22:35:02		這樣以後你回來
02:22:36:03		我就不用帶你去旅館了
02:22:38:29		對了
02:22:39:19		阿星, 你小的時候
02:22:41:24		沒事整天這樣挖這個洞
02:22:44:06		我
02:22:45:17		那個時候我才這麼小
02:22:47:10		是山仔, 不是我
02:22:49:06		說我
02:22:50:09		海仔, 你啦
02:22:51:14		小的時候練什麼鐵頭功
02:22:53:19		頭對著牆一直撞
02:22:55:16		撞到你看, 現在沒頭髮
02:22:58:01	02:22:58:25	有嗎
02:22:59:25		我已經說過了
02:23:00:17	02:23:02:02	我不要回去
02:23:03:07	02:23:04:22	是要說幾遍
02:23:07:03		阿霞
02:23:08:01		剛剛才在說你
02:23:09:23		乾脆跟我一起去賣鍋子
02:23:11:16		你從小就像大聲公
02:23:13:27		我都不用用麥克風
02:23:15:16		對啦
02:23:16:18		你兒子不是沒工作
02:23:17:27		來, 叫他一起上來
02:23:19:18		我栽培他
02:23:21:18		我台北那間房子也沒人住
02:23:23:18		你去住
02:23:24:04	02:23:25:28	順便照顧阿母
02:23:27:25		好啦
02:23:28:23	02:23:30:25	媽媽過幾天就回去
02:23:32:11		你是說真的還是假的
02:23:34:16		當然是真的
02:23:35:22		你小時候就愛哭
02:23:37:11		每次哭就躲去後面的廁所有沒有
02:23:39:15		後面那間算你的
02:23:41:12		愛哭的是阿星
02:23:42:14		不是我
02:23:43:04		怎麼是我
02:23:43:24		不是啦
02:23:45:00		所以說這間廁所算你的
02:23:47:15		沒問題
02:23:48:21	02:23:49:21	那都是蚊子
02:23:50:07		沒關係
02:23:51:03		叫阿山去餵蚊子
02:23:52:18	02:23:53:18	我餵蚊子
02:24:20:11		佛祖
02:24:22:09		信女罔笑有照你的指示
02:24:26:26	02:24:29:22	要笑二十四小時
02:24:32:02	02:24:35:21	現在時辰已經過了
02:25:03:10	02:25:05:23	怎麼是一張白紙
02:25:11:28		各位觀眾朋友大家好
02:25:13:21	02:25:15:26	又到了我們阿源之聲了
02:25:16:13		現在要給大家插播一則
02:25:19:00		意外的消息
02:25:20:09		咱們三家村的廟公國運
02:25:22:27		疑似趕著去銀行的路上
02:25:24:26		超速發生車禍
02:25:26:13		不注意卻衝進了海裡
02:25:29:01		這就是跟大家說
02:25:30:29		拜神求籤也不一定有用
02:25:33:09		求神明保佑
02:25:34:17	02:25:37:18	不如買阿源的長生醒腦丸
02:25:47:27	02:25:50:15	命不該得的
02:25:51:09	02:25:54:04	也不能強求
02:26:23:00	02:26:25:14	抓不到啦
02:26:29:12	02:26:32:01	阿嬤當母雞
