01:00:00:16	01:00:01:24	這什麼鬼地方啊
02:15:51:05	02:15:52:28	可以嗎...
02:15:54:05	02:15:55:04	來...
02:15:56:16	02:15:57:14	好
02:16:31:00	02:16:31:27	精力湯
02:16:34:07	02:16:35:05	你還好吧
02:17:08:07	02:17:09:15	吃飯了
02:18:10:10	02:18:11:15	這一首歌
02:18:12:26	02:18:14:16	我要獻給我的媽媽
02:18:15:19		還有一位
02:18:17:05	02:18:20:03	我永遠無法忘記的爺爺
02:20:33:19		我姓林, 名子閎
02:20:34:29		我家就我跟我媽兩個
02:20:36:23		我爸在我很小的時候
02:20:37:19		被車撞死了
02:20:38:26		反正就我媽一個人
02:20:39:22		很辛苦地扶養我長大
02:20:41:26		既然知道媽媽辛苦
02:20:43:08		為什麼還對她那麼凶
02:20:45:06	02:20:46:10	我哪有
02:20:47:01	02:20:48:08	我沒有很凶啊
02:20:49:02		你剛剛講的
02:20:49:19		跟你媽媽講的不一樣喔
02:20:51:28		原來傑克的爺爺
02:20:53:16	02:20:55:12	一直在偷拍我們的對話
02:20:57:03		當時的我
02:20:59:07	02:21:00:23	真的還滿可笑的
02:21:11:19		臭小子
02:21:12:16	02:21:14:05	有沒有開始想我了
02:21:15:18	02:21:16:17	謝謝啊
02:21:17:01		謝謝你在我生命最後的階段
02:21:20:12	02:21:22:01	帶給我很多快樂
02:21:23:03	02:21:26:10	也謝謝你送給我的照片
02:21:26:25	02:21:28:01	我把它藏起來了
02:21:28:28	02:21:29:29	藏在這裡啊
02:21:30:20	02:21:32:05	永遠都不會忘記
02:21:33:09	02:21:34:07	還有啦
02:21:35:10	02:21:36:27	爺爺警告你喔
02:21:38:11	02:21:41:15	人家說人生是有夢最美
02:21:42:01	02:21:45:01	所以你絕對不可以輕言放棄
02:21:45:11	02:21:47:00	你想要追求的理想
02:21:48:16	02:21:50:12	我會在上面盯著你
02:21:51:18		如果...
02:21:53:02		如果放棄或者是偷懶喔
02:21:55:27		打屁股
02:21:57:04	02:21:58:04	聽到沒有
02:22:00:17	02:22:02:13	加油, 臭小子
02:22:14:20	02:22:15:26	傑克的爺爺
02:22:18:09	02:22:19:23	我好想你
02:22:43:09		傑克的爺爺賣房子的錢
02:22:44:17		我們已經全數捐給兒童之家了
02:22:47:05		我們的仲介費也都捐出去了
02:22:49:06		所以希望以後
02:22:49:23		如果你們要買房, 賣房的話
02:22:51:19	02:22:53:12	都可以找有愛心的我們喔
02:22:55:05	02:22:56:01	謝謝
02:22:56:10		你們想要開這罐子嗎
02:22:57:13		機會只有一次喔
02:22:58:25	02:23:00:06	好, 那給你好了
02:23:05:00		那我現在拿出一顆小球球
02:23:07:22		小球球
02:23:09:00	02:23:09:29	小球球喔
02:23:10:11		我現在把這個小球球
02:23:11:23	02:23:13:16	塞到我的左手裡面
02:23:16:00	02:23:17:01	塞進去
02:23:17:27	02:23:19:07	我現在開始磨它
02:23:25:06	02:23:26:17	變成一顆愛心了
02:23:29:22	02:23:31:07	我把這顆愛心送給你好不好
02:23:32:10	02:23:33:15	它黏住了耶
02:23:37:29		帥哥
02:23:38:17		有什麼需要幫你服務的嗎
02:23:40:02		我要你今天下午
02:23:40:27	02:23:42:29	帶回來的那把舊吉他
02:23:43:15	02:23:44:15	在哪裡
02:23:45:19	02:23:46:18	在那邊
02:23:48:05		不好意思, 不行啊
02:23:49:15		我答應過吉他的主人
02:23:50:25		等他存夠錢讓他贖回去的
02:23:52:23	02:23:54:17	所以可能這沒有辦法賣你喔
02:23:59:08		不好意思, 真的不可以啦
02:24:01:07	02:24:02:25	因為我跟他真的很...
02:24:07:06		再考慮的話
02:24:08:01		我就把它變不見了
02:24:09:09		其實換個角度想一想
02:24:11:04		我跟他好像也沒那麼熟喔
02:24:12:22		賣你
02:24:13:17		這就對了
02:24:14:07		換個角度想一想
02:24:15:17	02:24:17:04	世界變得不一樣
02:24:17:28		夠多了吧
02:24:18:20		拿個漂亮的盒子幫我裝起來
02:24:20:24	02:24:22:00	沒問題
