01:03:52:27	01:03:54:09	很辛苦喔
02:14:08:16	02:14:10:01	你是不是放了她
02:14:10:10	02:14:11:25	走開, 我要去找她
02:14:12:25		走開...
02:14:15:08	02:14:18:06	她為什麼要騙我
02:14:19:03	02:14:21:10	邱詩婷
02:14:22:19	02:14:24:18	走開
02:14:59:22	02:15:00:24	你來幹嘛
02:15:02:27	02:15:04:06	小峰他一直問我
02:15:04:17	02:15:05:28	我不想騙他
02:15:06:05	02:15:07:27	我告訴他說你自殺了
02:15:08:09	02:15:09:16	他逼我來看你的
02:15:12:13	02:15:13:18	他...
02:15:15:14	02:15:17:03	你們現在一定很恨我
02:15:25:03	02:15:26:15	本來我真的很恨你
02:15:28:13	02:15:30:01	但看你現在這個樣子
02:15:31:06	02:15:32:03	算了
02:15:33:03		希望你不要再作賤你自己了
02:15:35:05	02:15:36:28	我賤干你屁事啊
02:15:37:12		你是我誰
02:15:38:10	02:15:39:22	憑什麼管我
02:15:43:11	02:15:44:25	小峰他沒有恨你
02:15:46:12	02:15:48:05	他知道你從小就缺乏愛
02:15:48:12	02:15:49:26	所以才會這麼需要愛
02:15:51:20		他要我轉達很多事情
02:15:53:11	02:15:55:07	可是我也記不了這麼多
02:15:56:02	02:15:57:25	他還是希望你不要等他
02:15:59:02	02:16:00:22	希望你能回學校念書
02:16:02:05	02:16:03:23	我知道我沒有資格說這麼多
02:16:04:22	02:16:06:02	但是你還年輕
02:16:06:18	02:16:08:09	人生的路還很長
02:16:28:05	02:16:29:01	婷婷
02:16:29:25	02:16:30:21	婷婷
02:16:31:07	02:16:32:16	頭還暈不暈
02:16:34:02		怎麼可以做這種傻事呢
02:16:36:12	02:16:38:04	你把爸媽嚇壞了
02:16:40:25	02:16:43:26	婷婷, 對不起
02:16:44:19	02:16:46:24	是爸媽過去忽略了你
02:16:48:02	02:16:48:28	答應媽
02:16:50:01		以後不要再做這種
02:16:51:05	02:16:53:00	傷害自己的事了
02:17:01:19		不用逼爸說什麼了
02:17:03:05	02:17:04:10	我不需要
02:17:04:22		我不需要你們假惺惺的
02:17:06:26	02:17:09:00	來看我, 關心我
02:17:09:14	02:17:11:27	反正我怎麼做都不如姐
02:17:12:08		反正我就是不夠好
02:17:14:05	02:17:16:13	不配做你們的女兒
02:17:16:26		你怎麼說這種話呢
02:17:18:14	02:17:20:17	難道不是嗎
02:17:21:10		難道我就活該生在這樣的家庭
02:17:24:13	02:17:26:15	我做自己有錯嗎
02:17:27:25	02:17:29:24	你們都不殺了我算了
02:17:30:05		你這什麼意思
02:17:31:05	02:17:32:11	你這...
02:17:37:11	02:17:40:24	這一切都不是你的錯
02:17:41:27	02:17:44:00	是我這個做爸爸的不對
02:17:45:17	02:17:47:02	我一直在逃避
02:17:47:26	02:17:49:18	為了我自己的自尊
02:17:50:02	02:17:51:06	我的形象
02:17:53:25	02:17:56:25	其實我一直在傷害我自己的女兒
02:17:57:19	02:17:59:12	老是拿你跟姐姐比
02:18:00:03	02:18:01:17	說你不夠努力
02:18:02:22		其實那都是我自己一個人
02:18:04:05	02:18:05:26	自私的想法
02:18:06:25	02:18:09:06	我完全沒有顧及到你的感受
02:18:11:08	02:18:12:14	可是你知道
02:18:13:07		當我看到你一頭撞到牆上的時候
02:18:16:02		我有多緊張
02:18:17:12		我有多難過
02:18:18:17	02:18:19:24	你知道嗎
02:18:21:24	02:18:24:09	你知道我有多怕失去你
02:18:26:03	02:18:27:02	婷婷
02:18:28:10	02:18:29:26	是爸爸錯了
02:18:35:29	02:18:36:28	婷婷
02:18:38:05	02:18:39:11	你和姐姐
02:18:40:07	02:18:42:22	都是爸媽心頭的一塊肉
02:18:44:01	02:18:45:29	是我們錯了
02:18:47:03	02:18:49:18	沒有好好體會你的感受
02:18:51:26	02:18:53:01	婷婷
02:18:55:18	02:18:58:01	等這一切事情都過了之後
02:18:59:04	02:19:00:29	搬回家裡來住
02:19:02:19	02:19:04:25	再給我們一次機會
02:19:06:06	02:19:09:03	你再重新做一次我們的女兒
02:19:09:21	02:19:11:06	好不好
02:19:14:16	02:19:17:27	你連補償的機會都不給我們嗎
02:19:21:04	02:19:22:06	小時候
02:19:22:23	02:19:25:00	爸爸跟我說一個故事
02:19:25:16	02:19:28:03	有個美國人告他媽媽
02:19:30:19	02:19:35:12	因為他是他媽媽被強姦所生下的孩子
02:19:35:26	02:19:39:01	他覺得他的出生是個錯誤
02:19:40:16	02:19:43:04	可是法院判他輸
02:19:44:14	02:19:45:29	因為法官說
02:19:46:12	02:19:50:12	所有出生的孩子都是被祝福的
02:19:54:13	02:19:57:10	爸, 媽
02:19:57:26	02:19:59:11	無論如何
02:19:59:28	02:20:03:12	還是要謝謝你們生下我
02:20:05:00	02:20:06:10	婷婷
02:20:07:25		媽都忘了
02:20:10:00	02:20:13:12	你多久沒有好好跟我們說一句話
02:20:14:17	02:20:19:00	你現在會跟我們說謝謝
02:20:21:08	02:20:24:15	葆華, 我們女兒回來了
02:21:22:18		快開庭了
02:21:24:04	02:21:25:17	你的決定是什麼
02:21:33:08	02:21:35:15	每個生命都需要被尊重的
02:21:36:18	02:21:38:21	即使是剛出生的小生命
02:21:39:03	02:21:40:12	也需要被呵護
02:21:40:24	02:21:42:09	也需要被珍惜
02:21:43:05		那他們犯法犯錯
02:21:44:12	02:21:46:03	就要受法律的制裁
02:21:47:11	02:21:50:14	所以你最後不打算輕判
02:21:54:24		你知道我最近一直在想
02:21:56:13	02:21:57:26	我之前跟你說的
02:21:58:13	02:21:59:25	莫忘初衷
02:22:01:22		我也想起
02:22:02:06	02:22:04:08	我開始要當法官的夢想
02:22:04:26		那個時候只是很單純
02:22:07:11	02:22:08:28	想追求公平正義
02:22:09:13		想站在受害者的角度
02:22:11:01	02:22:13:17	盡可能讓這個公平實現
02:22:15:04	02:22:16:13	雖然我知道很難
02:22:18:22	02:22:21:10	就是因為很難還去做
02:22:21:29	02:22:24:07	才是真的難能可貴
02:22:26:16	02:22:28:00	我怎麼能跟你比
02:22:29:08		你每天要喝那麼苦的中藥
02:22:31:08	02:22:33:03	每天要跟我媽學做飯
02:22:33:28		一個那麼專注在工作上的女人
02:22:35:15		為了我卻要洗手做羹湯
02:22:38:08	02:22:39:11	這才難吧
02:22:40:07	02:22:41:27	我才不是為了你呢
02:22:43:22	02:22:47:14	我是為了我們的小孩
02:22:54:26	02:22:56:19	我去找碩琪看過了
02:23:02:05	02:23:05:10	你準備打算當爸爸了
02:23:20:09	02:23:21:10	Yes
02:23:22:14	02:23:23:27	Yes...
02:23:33:14		真的啊...
02:23:35:21		真的嗎
02:23:36:07	02:23:38:10	哈囉...
02:23:42:11	02:23:44:05	我們等你等了好久
02:23:50:02	02:23:52:20	不能抱太緊...
