01:00:14:02	01:00:15:10	老闆, 多少錢
02:17:20:25	02:17:21:26	我嚇死了
02:17:22:16		我在上班的時候
02:17:23:28	02:17:26:00	也覺得搖得很厲害
02:17:26:13		我就馬上趕回來
02:17:27:21	02:17:28:25	看你有沒有事
02:17:30:19		還好沒繼續搖
02:17:32:02	02:17:33:07	不然就糟了
02:17:33:17	02:17:36:24	我是嚇得躲進衣櫥裡
02:17:39:27	02:17:42:25	上次不是有九二一大地震嗎
02:17:45:00		那搖得...
02:17:45:29		我有跑去豐原看
02:17:47:17		一樓下陷到地底
02:17:49:23	02:17:52:12	二樓反而變成一樓
02:17:54:11	02:17:56:16	講到那些實在很可憐
02:17:57:29	02:18:00:18	我們已經很幸運了
02:18:01:03	02:18:01:29	是啊
02:18:03:02		你看你
02:18:04:09	02:18:06:04	流汗流成這樣
02:18:07:11		擦一擦...
02:18:08:18	02:18:09:17	好
02:18:11:22	02:18:12:29	你也把臉洗一洗
02:18:14:11	02:18:14:27	來
02:18:17:08	02:18:18:06	在哪找到媽的
02:18:19:06	02:18:20:09	媽躲在衣櫃裡
02:18:21:21		媽
02:18:22:22	02:18:25:14	怎麼不是你跟嬸嬸幫阿嬤洗澡
02:18:25:27	02:18:27:17	爸爸不會覺得怪怪的嗎
02:18:27:27	02:18:28:29	你也洗一洗
02:18:29:10	02:18:30:19	忘了幫你擰乾
02:18:32:05	02:18:33:09	我來...
02:18:39:18	02:18:40:11	太熱了
02:18:41:11		我再幫你擦擦背
02:18:43:01	02:18:43:21	好
02:18:46:04	02:18:49:02	洗個澡舒服多了
02:18:52:01		我洗完, 待會換你洗
02:18:53:24	02:18:54:22	好啊
02:19:16:26		媽媽的子宮
02:19:18:08	02:19:20:02	就是我們生命的起源
02:19:20:21		她不是病人
02:19:22:12	02:19:23:19	也不是女人
02:19:24:19		媽媽
02:19:26:11	02:19:28:06	她就是媽媽
02:20:01:05	02:20:01:24	阿成
02:20:03:20	02:20:04:17	阿成
02:20:07:04	02:20:09:06	這不是你上班的地方嗎
02:20:11:15	02:20:14:07	是啊, 我們進去看看吧
02:20:15:05	02:20:16:00	好
02:20:20:02		老王
02:20:21:01	02:20:21:29	再會了
02:20:29:07		仁生啊
02:20:30:21		這是爸爸最後一次
02:20:32:15	02:20:33:29	帶你來這自來水廠了
02:20:34:15	02:20:35:29	為什麼是最後一次
02:20:38:02		因為爸爸以後
02:20:39:19	02:20:41:00	不會再來這裡上班了
02:20:43:04	02:20:44:19	為什麼不上班
02:20:46:25	02:20:47:24	仁生啊
02:20:48:06	02:20:49:14	你要記得爸爸說的話
02:20:50:00	02:20:52:25	以後千萬別替人作保
02:20:53:19		因為保這個字
02:20:55:00	02:20:57:15	是一個人, 一個呆
02:21:00:26	02:21:02:01	呆人啊
02:21:19:19	02:21:22:20	現在我終於找到答案了
02:21:23:15	02:21:27:22	我想這就叫做念念不忘吧
02:22:13:08	02:22:14:16	爸爸
02:22:15:03	02:22:16:00	爸爸
02:22:18:09	02:22:19:05	爸爸
02:22:20:09	02:22:21:10	爸爸
02:22:28:21		仁生
02:22:29:22	02:22:30:22	爸爸
02:22:31:00	02:22:32:10	不能隨便亂動
02:22:33:25	02:22:35:01	你知道這是什麼嗎
02:22:35:22	02:22:38:07	這個是分配電流的匝道
02:22:38:29	02:22:39:22	上面看到沒有
02:22:40:13		上面有幾千伏特的電壓
02:22:42:17		就透過這個
02:22:43:21	02:22:44:27	分配電流匝道
02:22:45:21		那是我記憶中
02:22:47:26	02:22:49:07	爸最帥的樣子
02:23:05:28	02:23:07:06	如果還要再問
02:23:08:19	02:23:11:23	媽究竟恨不恨爸呢
02:23:54:13	02:23:57:03	她一直唸...
02:23:58:18	02:24:01:23	是表示她不願意忘記
02:24:12:22	02:24:18:02	嘴裡說的淨是埋怨和不滿
02:24:25:03	02:24:31:02	其實那是一種思念
